sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
27,2,Reference Association,,Account Payable Adjustment Line,,0..1,,,Purchase Invoice,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,97,AP02_09
28,2,Reference Association,,Account Payable Adjustment Line,,0..1,,,Purchase Invoice Line,"A class describing the specifics of each invoice line received during the period under review, used to validate that invoiced items match ordered and received goods in the three-way matching process.",Accounts Payable,97,AP02_10
817,1,Class,,Purchase Requisition,,,,,,A class representing an internal document requesting the procurement of goods or services.,Purchase,100,PR09
818,2,Attribute,PK,Purchase Requisition,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a purchase requisition.,Purchase,100,PR09_01
819,2,Attribute,,Purchase Requisition,Number,0..1,Char,Char Long,,The number for a material purchase requisition document.,Purchase,100,PR09_02
820,2,Attribute,,Purchase Requisition,Date,0..1,Date,DATE,,The date on which a purchase requisition is officially submitted.,Purchase,100,PR09_03
821,2,Attribute,,Purchase Requisition,Status,0..1,Code,STATUS CODE,,The current state of the purchase requisition's lifecycle.,Purchase,100,PR09_04
822,2,Attribute,,Purchase Requisition,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for a purchase requisition.,Purchase,100,PR09_05
823,2,Composition,,Purchase Requisition,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,100,PR09_06
824,2,Composition,,Purchase Requisition,,0..*,,,Purchase Requisition Line,"A class detailing each requested item in a purchase requisition, outlining quantities and intended purchase details.",Purchase,100,PR09_07
825,2,Reference Association,,Purchase Requisition,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,100,PR09_08
826,1,Class,,Purchase Requisition Line,,,,,,A class representing the specifics of goods or services requested in a purchase requisition.,Purchase,102,PR10
827,2,Attribute,PK,Purchase Requisition Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line within a purchase requisition.,Purchase,102,PR10_01
828,2,Attribute,,Purchase Requisition Line,Number,0..1,Char,Char Short,,The number for a specific line within a purchase requisition document.,Purchase,102,PR10_02
829,2,Attribute,,Purchase Requisition Line,Due Date,0..1,Date,DATE,,The final date on which delivery of materials specified in a purchase requisition is requested.,Purchase,102,PR10_03
830,2,Attribute,,Purchase Requisition Line,Status,0..1,Code,STATUS CODE,,The current state of the purchase requisition line item's lifecycle.,Purchase,102,PR10_04
831,2,Composition,,Purchase Requisition Line,Approved,0..1,,,Quantity,The quantity of items that have been authorized on a purchase requisition line.,Purchase,102,PR10_05
832,2,Composition,,Purchase Requisition Line,Requisition,0..1,,,Quantity,The quantity of items requested on a purchase requisition line.,Purchase,102,PR10_06
833,2,Reference Association,,Purchase Requisition Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,102,PR10_07
834,2,Reference Association,,Purchase Requisition Line,Purchase Organization,0..1,,,Business Segment,The business segment relevant to the organization requesting the purchase through a requisition line.,Purchase,102,PR10_08
835,2,Reference Association,,Purchase Requisition Line,Requisition Organization,0..1,,,Business Segment,The business segment concerning the requisition of specific line items in a purchase order.,Purchase,102,PR10_09
836,2,Reference Association,,Purchase Requisition Line,,0..1,,,Inventory Product,The inventory product listed on a purchase requisition line item.,Purchase,102,PR10_10
837,2,Reference Association,,Purchase Requisition Line,Purchase,0..1,,,Measurement Unit,The unit of measure for the quantity of an inventory product requested on a purchase requisition line.,Purchase,102,PR10_11
838,2,Reference Association,,Purchase Requisition Line,,0..1,,,Project,A class that outlines the comprehensive details of a project in the context of purchase requisitions.,Purchase,102,PR10_12
839,2,Reference Association,,Purchase Requisition Line,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,102,PR10_13
758,1,Class,,Purchase Contract,,,,,,A class representing an agreement with a vendor for the provision of goods or services within a specified period.,Purchase,104,PR01
223,2,Attribute,PK,Purchase Contract.Contract,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a contract.,Purchase,0,PR01_GE09_01
224,2,Attribute,,Purchase Contract.Contract,Number,0..1,Char,Char Long,,"The number for a contract, facilitating its recognition and retrieval within a system.",Purchase,0,PR01_GE09_02
225,2,Attribute,,Purchase Contract.Contract,Type Name,0..1,Name,Name Medium,,The classification title given to a contract that specifies its nature and terms within the context of sales and purchase activities.,Purchase,0,PR01_GE09_03
226,2,Attribute,,Purchase Contract.Contract,Beginning Date,0..1,Date,DATE,,The date on which the terms of a contract become effective.,Purchase,0,PR01_GE09_04
227,2,Attribute,,Purchase Contract.Contract,Ending Date,0..1,Date,DATE,,The date on which the terms of a contract conclude or expire.,Purchase,0,PR01_GE09_05
228,2,Attribute,,Purchase Contract.Contract,Status,0..1,Code,STATUS CODE,,The current state of the contract's lifecycle.,Purchase,0,PR01_GE09_06
229,2,Attribute,,Purchase Contract.Contract,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for a contract.,Purchase,0,PR01_GE09_07
230,2,Composition,,Purchase Contract.Contract,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,PR01_GE09_08
231,2,Reference Association,,Purchase Contract.Contract,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR01_GE09_09
232,2,Reference Association,,Purchase Contract.Contract,Transaction,0..1,,,Currency,The currency in which the financial transaction for contracts denominated.,Purchase,0,PR01_GE09_10
233,2,Reference Association,,Purchase Contract.Contract,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Purchase,0,PR01_GE09_11
234,2,Reference Association,,Purchase Contract.Contract,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Purchase,0,PR01_GE09_12
760,2,Composition,,Purchase Contract,,0..*,,,Purchase Contract Line,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",Purchase,104,PR01_01
761,2,Reference Association,,Purchase Contract,Purchase Organization,0..1,,,Business Segment,The business segment pertaining to the organization that manages purchase contracts.,Purchase,104,PR01_02
762,2,Reference Association,,Purchase Contract,Purchaser,0..1,,,Employee,The employee who is designated as the purchaser in a purchase contract.,Purchase,104,PR01_03
763,2,Reference Association,,Purchase Contract,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,104,PR01_04
764,1,Class,,Purchase Contract Line,,,,,,A class containing essential information about suppliers.,Purchase,106,PR02
236,2,Attribute,PK,Purchase Contract Line.Contract Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line item within a contract.,Purchase,0,PR02_GE10_01
237,2,Attribute,,Purchase Contract Line.Contract Line,Number,0..1,Char,Char Short,,"The number for a specific line within a contract, enabling distinction and reference.",Purchase,0,PR02_GE10_02
238,2,Attribute,,Purchase Contract Line.Contract Line,Due Date,0..1,Date,DATE,,The final date by which delivery of products or materials is requested.,Purchase,0,PR02_GE10_03
239,2,Attribute,,Purchase Contract Line.Contract Line,Status,0..1,Code,STATUS CODE,,The current state of the contract line item's lifecycle.,Purchase,0,PR02_GE10_04
240,2,Composition,,Purchase Contract Line.Contract Line,Tax Exclude,0..1,,,Amount,"The monetary amount of a contract line item without tax, recorded in the transaction currency.",Purchase,0,PR02_GE10_05
241,2,Composition,,Purchase Contract Line.Contract Line,Tax Exclude Unit Price,0..1,,,Amount,"The price per unit of a contract line item with tax included, recorded in the transaction currency.",Purchase,0,PR02_GE10_06
242,2,Composition,,Purchase Contract Line.Contract Line,Tax Include,0..1,,,Amount,"The monetary amount of a contract line item including tax, recorded in the transaction currency.",Purchase,0,PR02_GE10_07
243,2,Composition,,Purchase Contract Line.Contract Line,Tax Include Unit Price,0..1,,,Amount,Unit price (including tax) in transaction currency.,Purchase,0,PR02_GE10_08
