seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,LocalLabel,LocalDocumentation
416,2,Composition,,Detail_ Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
417,1,Class,,Document,,,,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",bus,【文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
418,2,Attribute,PK,Document,Number,String,,0..1,Document number,bus,文書番号,文書の番号。
419,2,Attribute,PK,Document,Type,Token,,0..1,"Document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",bus,文書種別,文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other)
420,2,Attribute,,Document,Date,Date,,0..1,Document date,bus,文書日付,文書の日付。
421,2,Attribute,,Document,Identifier Type,Token,,0..1,"Document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",bus,文書対象CVE種別,"文書の対象となるCVEの種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)"
422,2,Attribute,,Document,Identifier Code,String,,0..1,Document identifier code,bus,文書対象CVEコード,文書の対象となるCVEのコード。
423,2,Attribute,,Document,Identifier Tax Code,String,,0..1,Document identifier tax code,bus,文書対象CVE納税者コード,文書の対象となるCVEの納税者コード。
424,1,Class,,Originating_ Document,,,,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",taf,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
425,2,Specialization,,Originating_ Document,,,Document,1,,bus,,
426,2,Attribute,PK,Originating_ Document,Number,String,,0..1,Originating document number,taf,発生元文書番号,発生元文書の番号。
427,2,Attribute,PK,Originating_ Document,Type,Token,,0..1,"Originating document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",taf,発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other)
428,2,Attribute,,Originating_ Document,Date,Date,,0..1,Originating document date,taf,発生元文書日付,発生元文書の日付。
429,2,Attribute,,Originating_ Document,Identifier Type,Token,,0..1,"Originating document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",taf,発生元文書対象CVE種別,"発生元文書の対象となるCVEの種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)"
430,2,Attribute,,Originating_ Document,Identifier Code,String,,0..1,Originating document identifier code,taf,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。
431,2,Attribute,,Originating_ Document,Identifier Tax Code,String,,0..1,Originating document identifier tax code,taf,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。
432,1,Class,,Detail_ Originating_ Document,,,,0..*,"A tool to capture the flow of related documents in the business process applied at the transaction detail (line) level. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",taf,【行発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
433,2,Specialization,,Detail_ Originating_ Document,,,Document,1,,bus,,
434,2,Attribute,PK,Detail_ Originating_ Document,Number,String,,0..1,Originating document number,taf,発生元文書番号,発生元文書の番号。
435,2,Attribute,PK,Detail_ Originating_ Document,Type,Token,,0..1,"Originating document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",taf,発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other)
436,2,Attribute,,Detail_ Originating_ Document,Date,Date,,0..1,Originating document date,taf,発生元文書日付,発生元文書の日付。
437,2,Attribute,,Detail_ Originating_ Document,Identifier Type,Token,,0..1,"Originating document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",taf,発生元文書対象CVE種別,"発生元文書の対象となるCVEの種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)"
438,2,Attribute,,Detail_ Originating_ Document,Identifier Code,String,,0..1,Originating document identifier code,taf,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。
439,2,Attribute,,Detail_ Originating_ Document,Identifier Tax Code,String,,0..1,Originating document identifier tax code,taf,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。
440,1,Abstract Class,,Rich Text Comment,,,,0..*,"Accepts text in rich text format, including XHTML. It can be used for different purposes, such as to create footnotes in XBRL instances or to create a comment for a document or an entry.",lnk,【リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。
