sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,DEN,version
663,2,Attribute,,Supply Chain_ Event,Description,Binary Object,,0..n,"Binary object data, such as a photograph, describing this supply chain event.",BBIE,Supply Chain_ Event. Description. Binary Object,January 2017
664,2,Attribute,,Supply Chain_ Event,Unit,Quantity,,0..1,A number of units for this supply chain event.,BBIE,Supply Chain_ Event. Unit. Quantity,January 2017
665,2,Attribute,,Supply Chain_ Event,Latest_ Occurrence,Date Time,,0..1,"The date, time, date time, or other date time value of the latest occurrence of this supply chain event.",BBIE,Supply Chain_ Event. Latest_ Occurrence. Date Time,January 2017
666,2,Attribute,,Supply Chain_ Event,Earliest_ Occurrence,Date Time,,0..1,"The date, time, date time, or other date time value of the earliest occurrence of this supply chain event.",BBIE,Supply Chain_ Event. Earliest_ Occurrence. Date Time,January 2017
667,2,Composition,,Supply Chain_ Event,Occurrence,,Specified_ Period,0..1,A specified period of time during which this supply chain event occurs.,ASBIE,Supply Chain_ Event. Occurrence. Specified_ Period,January 2017
668,2,Composition,,Supply Chain_ Event,Occurrence,,Logistics_ Location,0..1,A logistics location where this supply chain event occurs.,ASBIE,Supply Chain_ Event. Occurrence. Logistics_ Location,January 2017
669,1,Class,,Supply Chain_ Packaging,,,,,"Any material with which supply chain goods are packaged, such as a box or bubble wrap.",ABIE,Supply Chain_ Packaging. Details,January 2017
670,2,Attribute,,Supply Chain_ Packaging,Type,Code,,0..1,The code specifying the type of supply chain packaging.,BBIE,Supply Chain_ Packaging. Type. Code,January 2017
671,2,Attribute,,Supply Chain_ Packaging,Type,Text,,0..1,"The type, expressed as text, of supply chain packaging.",BBIE,Supply Chain_ Packaging. Type. Text,January 2017
672,2,Attribute,,Supply Chain_ Packaging,Description,Text,,0..n,A textual description of this supply chain packaging.,BBIE,Supply Chain_ Packaging. Description. Text,January 2017
673,2,Attribute,,Supply Chain_ Packaging,Condition,Code,,0..1,A code specifying the condition of this supply chain packaging.,BBIE,Supply Chain_ Packaging. Condition. Code,January 2017
674,2,Attribute,,Supply Chain_ Packaging,Disposal Method,Code,,0..n,A code specifying the disposal method of this supply chain packaging.,BBIE,Supply Chain_ Packaging. Disposal Method. Code,January 2017
675,2,Attribute,,Supply Chain_ Packaging,Weight,Measure,,0..n,A measure of the weight of this supply chain packaging.,BBIE,Supply Chain_ Packaging. Weight. Measure,January 2017
676,2,Attribute,,Supply Chain_ Packaging,Maximum Stackability,Quantity,,0..1,The number of units of this type of supply chain packaging which can be stacked on top of each other.,BBIE,Supply Chain_ Packaging. Maximum Stackability. Quantity,January 2017
677,2,Attribute,,Supply Chain_ Packaging,Maximum Stackability_ Weight,Measure,,0..1,The measure of the maximum stackability weight of this supply chain packaging.,BBIE,Supply Chain_ Packaging. Maximum Stackability_ Weight. Measure,January 2017
678,2,Attribute,,Supply Chain_ Packaging,Customer Facing_ Total Unit,Quantity,,0..1,"The total number of units of this supply chain packaging facing the customer, such as would be seen when this packaging is placed on a retail shelf.",BBIE,Supply Chain_ Packaging. Customer Facing_ Total Unit. Quantity,January 2017
679,2,Attribute,,Supply Chain_ Packaging,Layer_ Total Unit,Quantity,,0..1,The total number of units in a layer of this supply chain packaging.,BBIE,Supply Chain_ Packaging. Layer_ Total Unit. Quantity,January 2017
680,2,Attribute,,Supply Chain_ Packaging,Content Layer,Quantity,,0..1,"The number of content layers that are or may be packaged with this supply chain packaging, such as the number of layers of product on a pallet.",BBIE,Supply Chain_ Packaging. Content Layer. Quantity,January 2017
681,2,Composition,,Supply Chain_ Packaging,Linear,,Spatial_ Dimension,0..1,The linear spatial dimensions of this supply chain packaging.,ASBIE,Supply Chain_ Packaging. Linear. Spatial_ Dimension,January 2017
682,2,Composition,,Supply Chain_ Packaging,Minimum_ Linear,,Spatial_ Dimension,0..1,The minimum linear spatial dimensions of this supply chain packaging.,ASBIE,Supply Chain_ Packaging. Minimum_ Linear. Spatial_ Dimension,January 2017
683,2,Composition,,Supply Chain_ Packaging,Maximum_ Linear,,Spatial_ Dimension,0..1,The maximum linear spatial dimensions of this supply chain packaging.,ASBIE,Supply Chain_ Packaging. Maximum_ Linear. Spatial_ Dimension,January 2017
684,2,Composition,,Supply Chain_ Packaging,Specified,,Packaging_ Marking,0..n,"A marking specified for this supply chain packaging, such as an inscription, stamp or label to indicate date, ownership, quality, manufacture or origin.",ASBIE,Supply Chain_ Packaging. Specified. Packaging_ Marking,January 2017
685,2,Composition,,Supply Chain_ Packaging,Applicable,,Material_ Goods Characteristic,0..n,Material goods characteristic applicable to this supply chain packaging.,ASBIE,Supply Chain_ Packaging. Applicable. Material_ Goods Characteristic,January 2017
686,2,Composition,,Supply Chain_ Packaging,Applicable,,Disposal_ Instructions,0..n,Disposal instructions for this supply chain packaging.,ASBIE,Supply Chain_ Packaging. Applicable. Disposal_ Instructions,January 2017
687,2,Composition,,Supply Chain_ Packaging,Applicable,,Returnable Asset_ Instructions,0..n,Returnable asset instructions for this supply chain packaging.,ASBIE,Supply Chain_ Packaging. Applicable. Returnable Asset_ Instructions,January 2017
688,1,Class,,Supply Chain_ Trade Line Item,,,,,A collection of information specific to an item being used or reported on for supply chain trade purposes.,ABIE,Supply Chain_ Trade Line Item. Details,January 2017
689,2,Attribute,,Supply Chain_ Trade Line Item,Description,Code,,0..1,The code specifying a description of this supply chain trade line item.,BBIE,Supply Chain_ Trade Line Item. Description. Code,January 2017
690,2,Composition,,Supply Chain_ Trade Line Item,Associated,,Document Line_ Document,1..1,The document line associated with this trade line item.,ASBIE,Supply Chain_ Trade Line Item. Associated. Document Line_ Document,January 2017
691,2,Composition,,Supply Chain_ Trade Line Item,Specified,,Trade_ Product,0..1,The product specified for this supply chain trade line item.,ASBIE,Supply Chain_ Trade Line Item. Specified. Trade_ Product,January 2017
692,2,Composition,,Supply Chain_ Trade Line Item,Specified,,Line_ Trade Agreement,0..1,The line trade agreement specified for this supply chain trade line item.,ASBIE,Supply Chain_ Trade Line Item. Specified. Line_ Trade Agreement,January 2017
693,2,Composition,,Supply Chain_ Trade Line Item,Specified,,Line_ Trade Delivery,0..1,The line trade delivery specified for this supply chain trade line item.,ASBIE,Supply Chain_ Trade Line Item. Specified. Line_ Trade Delivery,January 2017
694,2,Composition,,Supply Chain_ Trade Line Item,Specified,,Line_ Trade Settlement,1..1,A line trade settlement specified for this supply chain trade line item.,ASBIE,Supply Chain_ Trade Line Item. Specified. Line_ Trade Settlement,January 2017
695,2,Composition,,Supply Chain_ Trade Line Item,Included,,Subordinate_ Trade Line Item,0..n,A subordinate trade line item included in this supply chain trade line item.,ASBIE,Supply Chain_ Trade Line Item. Included. Subordinate_ Trade Line Item,January 2017
696,1,Class,,Supply Chain_ Trade Transaction,,,,,"A group of supply chain trade line items, trade agreement, trade delivery and trade settlement details.",ABIE,Supply Chain_ Trade Transaction. Details,January 2017
697,2,Composition,,Supply Chain_ Trade Transaction,Included,,Supply Chain_ Trade Line Item,0..n,A trade line item included in this supply chain trade transaction.,ASBIE,Supply Chain_ Trade Transaction. Included. Supply Chain_ Trade Line Item,January 2017
698,2,Composition,,Supply Chain_ Trade Transaction,Applicable,,Header_ Trade Agreement,1..1,"A trade agreement header applicable to this supply chain trade transaction, such as payment or delivery terms.",ASBIE,Supply Chain_ Trade Transaction. Applicable. Header_ Trade Agreement,January 2017
699,2,Composition,,Supply Chain_ Trade Transaction,Applicable,,Header_ Trade Delivery,1..1,A trade delivery header applicable to this supply chain trade transaction.,ASBIE,Supply Chain_ Trade Transaction. Applicable. Header_ Trade Delivery,January 2017
700,2,Composition,,Supply Chain_ Trade Transaction,Applicable,,Header_ Trade Settlement,1..1,The trade settlement header applicable to this supply chain trade transaction.,ASBIE,Supply Chain_ Trade Transaction. Applicable. Header_ Trade Settlement,January 2017
701,1,Class,,Tax_ Registration,,,,,Registration with a specific tax authority.,ABIE,Tax_ Registration. Details,January 2017
702,2,Attribute,,Tax_ Registration,Identification,Identifier,,0..1,The unique identifier for this tax registration.,BBIE,Tax_ Registration. Identification. Identifier,January 2017
703,2,Composition,,Tax_ Registration,Associated,,Registered_ Tax,0..1,The registered tax associated with this tax registration.,ASBIE,Tax_ Registration. Associated. Registered_ Tax,January 2017
704,1,Class,,Trade Settlement Header_ Monetary Summation,,,,,"A collection of monetary amount totals, specified at header level, for a trade settlement.",ABIE,Trade Settlement Header_ Monetary Summation. Details,January 2017
705,2,Attribute,,Trade Settlement Header_ Monetary Summation,Line Total,Amount,,0..n,A monetary value of the line amount total being reported in this trade settlement header monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Line Total. Amount,January 2017
706,2,Attribute,,Trade Settlement Header_ Monetary Summation,Charge Total,Amount,,0..n,A monetary value of the total of all charge amounts being reported in this trade settlement header monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Charge Total. Amount,January 2017
707,2,Attribute,,Trade Settlement Header_ Monetary Summation,Allowance Total,Amount,,0..n,A monetary value of the total of all allowance amounts being reported in this trade settlement header monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Allowance Total. Amount,January 2017
708,2,Attribute,,Trade Settlement Header_ Monetary Summation,Tax Basis Total,Amount,,0..n,A monetary value of the total of all tax basis amounts being reported in this trade settlement monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Tax Basis Total. Amount,January 2017
709,2,Attribute,,Trade Settlement Header_ Monetary Summation,Tax Total,Amount,,0..n,A monetary value of the total of all tax amounts being reported in this trade settlement header monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Tax Total. Amount,January 2017
710,2,Attribute,,Trade Settlement Header_ Monetary Summation,Rounding,Amount,,0..n,A monetary value of a rounding amount being applied in this trade settlement header monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Rounding. Amount,January 2017
711,2,Attribute,,Trade Settlement Header_ Monetary Summation,Grand Total,Amount,,0..n,"A monetary value of the grand total of this trade settlement header monetary summation, to include addition and subtraction of individual summation amounts.",BBIE,Trade Settlement Header_ Monetary Summation. Grand Total. Amount,January 2017
712,2,Attribute,,Trade Settlement Header_ Monetary Summation,Information,Amount,,0..n,A monetary value of an amount being reported for information in this trade settlement header monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Information. Amount,January 2017
713,2,Attribute,,Trade Settlement Header_ Monetary Summation,Total Prepaid,Amount,,0..n,A monetary value of a prepaid total reported in this trade settlement header monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Total Prepaid. Amount,January 2017
714,2,Attribute,,Trade Settlement Header_ Monetary Summation,Total Discount,Amount,,0..n,A monetary value of a total discount reported in this trade settlement header monetary summation.,BBIE,Trade Settlement Header_ Monetary Summation. Total Discount. Amount,January 2017
